name,station_number,elevation,easting_original,northing_original,easting,northing
 396_ 318,1822,1567.962,2701596.296,1171818.017,396.2960000000894,318.01699999999255
 427_ 319,1823,1586.536,2701626.603,1171818.67,426.6030000001192,318.6699999999255
 454_ 320,1824,1596.034,2701653.848,1171819.832,453.84800000023097,319.83199999993667
 483_ 322,1825,1609.035,2701682.515,1171821.5,482.5150000001304,321.5
 513_ 322,1826,1624.79,2701712.909,1171822.116,512.9089999999851,322.11599999992177
 541_ 322,1827,1640.951,2701741.47,1171821.92,541.4700000002049,321.9199999999255
 568_ 323,1828,1640.875,2701768.356,1171823.228,568.3560000001453,323.2279999998864
 597_ 323,1829,1651.579,2701796.737,1171822.804,596.7370000001974,322.8040000000037
 626_ 324,1830,1657.373,2701825.514,1171823.533,625.5139999999665,323.533000000054
 383_ 293,1831,1555.568,2701583.055,1171793.493,383.05500000016764,293.49300000001676
 412_ 295,1832,1571.702,2701611.873,1171794.952,411.87300000013784,294.95200000004843
 441_ 296,1833,1584.987,2701641.215,1171795.712,441.214999999851,295.71200000005774
 469_ 297,1834,1594.916,2701669.325,1171797.235,469.32500000018626,297.23500000010245
 498_ 297,1835,1608.803,2701697.922,1171797.21,497.92199999978766,297.20999999996275
 555_ 298,1837,1634.843,2701755.139,1171797.735,555.1389999999665,297.73500000010245
 583_ 298,1838,1636.876,2701783.339,1171798.412,583.3390000001527,298.4120000000112
 611_ 298,1839,1642.545,2701811.295,1171798.39,611.2949999999255,298.38999999989755
 425_ 272,1840,1573.745,2701625.342,1171771.879,425.3420000001788,271.87899999995716
 455_ 271,1841,1581.966,2701655.364,1171771.191,455.3640000000596,271.19100000010803
 569_ 274,1845,1630.457,2701769.051,1171774.148,569.0509999999776,274.1480000000447
 599_ 275,1846,1632.489,2701798.709,1171775.358,598.7089999997988,275.35800000000745
 412_ 248,1847,1560.51,2701612.104,1171747.951,412.10399999981746,247.95099999988452
 440_ 246,1848,1566.835,2701640.088,1171745.945,440.0879999999888,245.9450000000652
 470_ 250,1849,1580.506,2701669.5,1171749.557,469.5,249.5570000000298
 500_ 250,1850,1593.695,2701700.045,1171750.053,500.0449999999255,250.05300000007264
 557_ 251,1852,1621.687,2701757.033,1171750.63,557.0329999998212,250.62999999988824
 585_ 250,1853,1628.649,2701784.744,1171750.406,584.7439999999478,250.40599999995902
 455_ 224,1854,1569.448,2701655.296,1171723.83,455.2960000000894,223.8300000000745
 511_ 229,1856,1593.08,2701711.284,1171728.822,511.2839999999851,228.82199999992736
 543_ 226,1857,1603.706,2701742.543,1171726.099,542.5430000000633,226.09899999992922
 570_ 228,1858,1615.095,2701769.798,1171727.885,569.7979999999516,227.8850000000093
 443_ 200,1859,1555.778,2701642.657,1171699.784,442.65700000012293,199.7839999999851
 472_ 200,1860,1567.048,2701672.271,1171700.032,472.27100000018254,200.0319999998901
 529_ 202,1862,1588.017,2701728.581,1171702.471,528.5809999997728,202.47099999990314
 557_ 203,1863,1595.799,2701756.723,1171703.102,556.723000000231,203.1019999999553
 485_ 176,1864,1563.045,2701684.84,1171676.356,484.839999999851,176.35599999991246
 513_ 180,1865,1572.322,2701713.391,1171679.905,513.3909999998286,179.90500000002794
